title,rating
Vampire in Brooklyn (1995),2.0
Beautiful Girls (1996),3.5
Broken Arrow (1996),3.0
In the Bleak Midwinter (1995),3.5
"Hate (Haine, La) (1995)",4.0
Heidi Fleiss: Hollywood Madam (1995),5.0
City Hall (1996),2.5
Bottle Rocket (1996),4.0
Mr. Wrong (1996),3.0
Unforgettable (1996),3.0
Happy Gilmore (1996),3.0
"Bridges of Madison County, The (1995)",3.0
Nobody Loves Me (Keiner liebt mich) (1994),4.0
Muppet Treasure Island (1996),3.0
Catwalk (1996),4.0
Braveheart (1995),4.0
Taxi Driver (1976),4.5
Rumble in the Bronx (Hont faan kui) (1995),3.5
Before and After (1996),3.5
Anne Frank Remembered (1995),3.5
"Young Poisoner's Handbook, The (1995)",3.0
If Lucy Fell (1996),2.5
"Steal Big, Steal Little (1995)",3.0
"Boys of St. Vincent, The (1992)",4.0
Boomerang (1992),1.5
Chungking Express (Chung Hing sam lam) (1994),3.5
Flirting With Disaster (1996),4.0
"NeverEnding Story III, The (1994)",2.0
Jupiter's Wife (1994),3.0
Pie in the Sky (1996),2.0
Jade (1995),3.0
Down Periscope (1996),3.5
Man of the Year (1995),3.0
Up Close and Personal (1996),3.5
"Birdcage, The (1996)",3.5
"Brothers McMullen, The (1995)",2.5
Bad Boys (1995),3.5
"Amazing Panda Adventure, The (1995)",3.5
"Basketball Diaries, The (1995)",3.5
"Awfully Big Adventure, An (1995)",5.0
Amateur (1994),2.0
Apollo 13 (1995),3.0
Rob Roy (1995),3.5
"Addiction, The (1995)",1.5
Batman Forever (1995),2.5
Beauty of the Day (Belle de jour) (1967),4.0
Beyond Rangoon (1995),2.0
Blue in the Face (1995),3.5
Canadian Bacon (1995),3.0
Casper (1995),1.5
Clockers (1995),3.5
Congo (1995),2.0
Crimson Tide (1995),3.0
Crumb (1994),4.5
Desperado (1995),3.5
Devil in a Blue Dress (1995),4.0
Die Hard: With a Vengeance (1995),4.0
"Doom Generation, The (1995)",3.0
First Knight (1995),1.0
Free Willy 2: The Adventure Home (1995),3.0
Hackers (1995),4.0
Jeffrey (1995),3.5
Johnny Mnemonic (1995),3.0
Judge Dredd (1995),2.5
Jury Duty (1995),2.0
Kids (1995),4.0
Living in Oblivion (1995),4.0
Lord of Illusions (1995),3.0
Love & Human Remains (1993),1.0
Mad Love (1995),1.5
Mallrats (1995),3.0
Mighty Morphin Power Rangers: The Movie (1995),1.5
Mute Witness (1994),3.5
Nadja (1994),3.5
"Net, The (1995)",3.0
Nine Months (1995),2.5
Party Girl (1995),4.0
"Prophecy, The (1995)",4.0
Reckless (1995),3.0
Safe (1995),3.5
"Scarlet Letter, The (1995)",2.5
Showgirls (1995),3.0
Smoke (1995),4.5
Something to Talk About (1995),2.0
Species (1995),2.5
Strange Days (1995),4.0
"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",4.5
Three Wishes (1995),3.0
Total Eclipse (1995),3.0
"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",2.5
Under Siege 2: Dark Territory (1995),3.5
Unstrung Heroes (1995),3.5
Unzipped (1995),3.0
"Walk in the Clouds, A (1995)",4.0
Waterworld (1995),2.5
White Man's Burden (1995),3.0
Wild Bill (1995),3.0
"Browning Version, The (1994)",3.5
Bushwhacked (1995),3.0
Burnt by the Sun (Utomlyonnye solntsem) (1994),2.0
Before the Rain (Pred dozhdot) (1994),4.0
Before Sunrise (1995),4.5
Billy Madison (1995),2.0
"Babysitter, The (1995)",1.5
Boys on the Side (1995),3.0
"Cure, The (1995)",3.0
Castle Freak (1995),3.0
Circle of Friends (1995),4.0
Clerks (1994),3.0
Don Juan DeMarco (1995),4.0
Disclosure (1994),3.0
Drop Zone (1994),3.5
Destiny Turns on the Radio (1995),2.0
Death and the Maiden (1994),3.5
Dolores Claiborne (1995),3.5
Dumb & Dumber (Dumb and Dumber) (1994),3.0
Eat Drink Man Woman (Yin shi nan nu) (1994),4.5
Exotica (1994),3.5
Exit to Eden (1994),1.5
Ed Wood (1994),4.0
French Kiss (1995),3.0
Forget Paris (1995),2.5
Far From Home: The Adventures of Yellow Dog (1995),4.0
"Goofy Movie, A (1995)",3.0
Hideaway (1995),2.0
Fluke (1995),4.0
Farinelli: il castrato (1994),4.0
Gordy (1995),3.0
Hoop Dreams (1994),4.0
Heavenly Creatures (1994),4.0
Houseguest (1994),3.0
Immortal Beloved (1994),3.0
Heavyweights (Heavy Weights) (1995),1.5
"Hunted, The (1995)",3.0
I.Q. (1994),3.0
Interview with the Vampire: The Vampire Chronicles (1994),4.0
Jefferson in Paris (1995),3.0
"Jerky Boys, The (1995)",2.0
Junior (1994),2.0
Just Cause (1995),4.5
"Kid in King Arthur's Court, A (1995)",2.5
Kiss of Death (1995),3.5
Star Wars: Episode IV - A New Hope (1977),4.5
Little Women (1994),4.0
"Little Princess, A (1995)",3.0
Ladybird Ladybird (1994),4.0
Like Water for Chocolate (Como agua para chocolate) (1992),4.0
Legends of the Fall (1994),3.5
Major Payne (1995),2.5
My Crazy Life (Mi vida loca) (1993),3.0
Love Affair (1994),3.0
Losing Isaiah (1995),3.0
"Madness of King George, The (1994)",4.0
Mary Shelley's Frankenstein (Frankenstein) (1994),3.0
Man of the House (1995),2.5
Mixed Nuts (1994),2.0
Milk Money (1994),2.5
Miracle on 34th Street (1994),2.5
Miami Rhapsody (1995),1.5
My Family (1995),3.0
Murder in the First (1995),3.5
Nobody's Fool (1994),3.5
Nell (1994),3.0
New Jersey Drive (1995),4.0
New York Cop (Nyû Yôku no koppu) (1993),4.5
Beyond Bedlam (1993),4.0
Nina Takes a Lover (1994),3.0
Natural Born Killers (1994),3.5
Only You (1994),4.0
Once Were Warriors (1994),4.0
Poison Ivy II (1996),2.0
Outbreak (1995),3.0
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),4.5
"Perez Family, The (1995)",3.0
"Pyromaniac's Love Story, A (1995)",3.0
Pulp Fiction (1994),4.5
Pushing Hands (Tui shou) (1992),2.0
Priest (1994),3.5
Quiz Show (1994),3.0
Picture Bride (Bijo photo) (1994),4.0
"Queen Margot (Reine Margot, La) (1994)",3.5
"Quick and the Dead, The (1995)",3.0
Roommates (1995),4.0
Ready to Wear (Pret-A-Porter) (1994),3.0
Three Colors: Red (Trois couleurs: Rouge) (1994),4.0
Three Colors: Blue (Trois couleurs: Bleu) (1993),4.0
Three Colors: White (Trzy kolory: Bialy) (1994),4.0
Rent-a-Kid (1995),3.0
Relative Fear (1994),3.0
Stuart Saves His Family (1995),1.0
"Swan Princess, The (1994)",3.5
"Secret of Roan Inish, The (1994)",3.0
"Specialist, The (1994)",4.0
Stargate (1994),3.5
"Santa Clause, The (1994)",3.0
"Shawshank Redemption, The (1994)",3.5
Shallow Grave (1994),4.0
Suture (1993),3.0
Strawberry and Chocolate (Fresa y chocolate) (1993),4.0
Swimming with Sharks (1995),4.0
"Sum of Us, The (1994)",4.0
National Lampoon's Senior Trip (1995),2.0
To Live (Huozhe) (1994),4.5
Tank Girl (1995),4.0
Tales from the Crypt Presents: Demon Knight (1995),3.5
Star Trek: Generations (1994),3.5
Tales from the Hood (1995),3.0
Tom & Viv (1994),3.0
Village of the Damned (1995),3.5
Tommy Boy (1995),3.0
Vanya on 42nd Street (1994),4.5
Underneath (1995),3.5
"Walking Dead, The (1995)",3.0
What's Eating Gilbert Grape (1993),3.5
Virtuosity (1995),3.0
While You Were Sleeping (1995),2.5
"War, The (1994)",3.5
Double Happiness (1994),4.0
Muriel's Wedding (1994),2.5
"Baby-Sitters Club, The (1995)",3.0
Ace Ventura: Pet Detective (1994),3.0
"Adventures of Priscilla, Queen of the Desert, The (1994)",3.5
Backbeat (1993),4.0
Bitter Moon (1992),3.5
Bullets Over Broadway (1994),4.5
Clear and Present Danger (1994),3.5
"Client, The (1994)",2.5
"Corrina, Corrina (1994)",2.0
Crooklyn (1994),2.5
"Crow, The (1994)",4.0
Cobb (1994),3.0
"Flintstones, The (1994)",2.0
Forrest Gump (1994),3.5
Four Weddings and a Funeral (1994),3.5
Higher Learning (1995),2.5
I Like It Like That (1994),3.0
I Love Trouble (1994),2.5
It Could Happen to You (1994),2.5
"Jungle Book, The (1994)",2.5
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",4.0
"Lion King, The (1994)",4.0
Little Buddha (1993),3.5
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",3.0
"Mask, The (1994)",3.5
Maverick (1994),2.5
Mrs. Parker and the Vicious Circle (1994),4.0
Naked Gun 33 1/3: The Final Insult (1994),2.0
"Paper, The (1994)",2.5
Reality Bites (1994),2.5
Red Rock West (1992),4.5
Richie Rich (1994),1.0
"River Wild, The (1994)",3.0
Speed (1994),4.0
Speechless (1994),3.0
Timecop (1994),2.5
True Lies (1994),4.0
When a Man Loves a Woman (1994),3.5
Wolf (1994),3.5
Wyatt Earp (1994),3.5
Bad Company (1995),3.5
"Man of No Importance, A (1994)",4.0
S.F.W. (1994),3.0
"Low Down Dirty Shame, A (1994)",2.5
Boys Life (1995),3.0
"Colonel Chabert, Le (1994)",4.5
Faster Pussycat! Kill! Kill! (1965),4.5
Jason's Lyric (1994),4.5
Street Fighter (1994),2.5
Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),2.0
Federal Hill (1994),3.0
In the Mouth of Madness (1995),4.5
8 Seconds (1994),3.0
Above the Rim (1994),2.0
Addams Family Values (1993),3.0
"Age of Innocence, The (1993)",3.0
Airheads (1994),2.0
"Air Up There, The (1994)",2.0
Another Stakeout (1993),2.0
Bad Girls (1994),2.0
Barcelona (1994),3.0
Being Human (1993),3.0
"Beverly Hillbillies, The (1993)",3.0
Beverly Hills Cop III (1994),2.0
Black Beauty (1994),4.0
Blink (1994),3.5
Blown Away (1994),3.0
Blue Chips (1994),2.0
Blue Sky (1994),4.0
Body Snatchers (1993),3.5
Boxing Helena (1993),3.5
"Bronx Tale, A (1993)",3.5
Cabin Boy (1994),2.0
Calendar Girl (1993),3.5
Carlito's Way (1993),4.0
City Slickers II: The Legend of Curly's Gold (1994),2.0
Clean Slate (1994),2.5
Cliffhanger (1993),3.5
Coneheads (1993),1.5
Color of Night (1994),2.5
Cops and Robbersons (1994),2.0
"Cowboy Way, The (1994)",2.5
Dave (1993),3.5
Dazed and Confused (1993),4.5
Demolition Man (1993),2.5
Even Cowgirls Get the Blues (1993),3.0
Fatal Instinct (1993),3.5
Farewell My Concubine (Ba wang bie ji) (1993),3.5
Fearless (1993),4.0
Fear of a Black Hat (1994),1.0
With Honors (1994),3.0
Flesh and Bone (1993),4.0
Widows' Peak (1994),3.0
For Love or Money (1993),2.5
"Firm, The (1993)",3.5
Free Willy (1993),1.5
Fresh (1994),4.0
"Fugitive, The (1993)",4.0
Geronimo: An American Legend (1993),2.5
"Getaway, The (1994)",2.0
Getting Even with Dad (1994),2.5
Go Fish (1994),3.0
Hard Target (1993),3.0
Hot Shots! Part Deux (1993),3.0
Live Nude Girls (1995),5.0
"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",3.0
"House of the Spirits, The (1993)",3.5
House Party 3 (1994),1.0
"Hudsucker Proxy, The (1994)",3.5
I'll Do Anything (1994),2.0
In the Army Now (1994),2.0
In the Line of Fire (1993),4.0
In the Name of the Father (1993),4.0
"Inkwell, The (1994)",1.0
What's Love Got to Do with It? (1993),3.0
Jimmy Hollywood (1994),2.5
Judgment Night (1993),2.0
Jurassic Park (1993),4.5
Kalifornia (1993),3.5
Killing Zoe (1994),3.5
Lassie (1994),3.0
Last Action Hero (1993),1.5
Life with Mikey (1993),3.0
Lightning Jack (1994),2.0
M. Butterfly (1993),3.0
Made in America (1993),2.5
Malice (1993),3.5
"Man Without a Face, The (1993)",2.5
Manhattan Murder Mystery (1993),3.5
Menace II Society (1993),4.5
Executive Decision (1996),3.5
In the Realm of the Senses (Ai no corrida) (1976),5.0
What Happened Was... (1994),5.0
Much Ado About Nothing (1993),4.0
Mr. Wonderful (1993),2.5
Mrs. Doubtfire (1993),3.0
Naked (1993),4.0
"Next Karate Kid, The (1994)",2.0
No Escape (1994),3.0
North (1994),1.5
Orlando (1992),4.5
"Perfect World, A (1993)",3.0
Philadelphia (1993),4.0
"Piano, The (1993)",4.0
Poetic Justice (1993),3.0
"Program, The (1993)",3.0
"Puppet Masters, The (1994)",3.0
Radioland Murders (1994),4.0
"Ref, The (1994)",3.0
"Remains of the Day, The (1993)",4.0
Renaissance Man (1994),3.0
Rising Sun (1993),3.0
"Road to Wellville, The (1994)",2.0
RoboCop 3 (1993),2.0
Robin Hood: Men in Tights (1993),2.0
Romeo Is Bleeding (1993),3.5
Romper Stomper (1992),2.0
Ruby in Paradise (1993),3.5
Rudy (1993),2.0
"Savage Nights (Nuits fauves, Les) (1992)",4.0
Schindler's List (1993),4.0
"Scout, The (1994)",2.0
Searching for Bobby Fischer (1993),3.5
"Secret Garden, The (1993)",2.5
Serial Mom (1994),2.0
"Shadow, The (1994)",3.5
Shadowlands (1993),4.0
Short Cuts (1993),3.5
"Simple Twist of Fate, A (1994)",3.5
Sirens (1994),3.5
Six Degrees of Separation (1993),3.0
Sleepless in Seattle (1993),3.0
Sliver (1993),3.0
Blade Runner (1982),4.5
Son in Law (1993),2.0
So I Married an Axe Murderer (1993),3.0
Striking Distance (1993),2.0
Super Mario Bros. (1993),1.0
Surviving the Game (1994),3.0
Terminal Velocity (1994),2.5
Thirty-Two Short Films About Glenn Gould (1993),4.5
Threesome (1994),3.5
"Nightmare Before Christmas, The (1993)",4.0
"Three Musketeers, The (1993)",3.0
Tombstone (1993),4.0
True Romance (1993),4.0
"War Room, The (1993)",4.0
"Pagemaster, The (1994)",2.5
Welcome to the Dollhouse (1995),4.0
Germinal (1993),4.0
Chasers (1994),1.5
Kika (1993),2.5
Bhaji on the Beach (1993),3.5
Little Big League (1994),2.0
"Ciao, Professore! (Io speriamo che me la cavo) (1992)",3.5
Spanking the Monkey (1994),3.5
"Little Rascals, The (1994)",1.0
Andre (1994),2.0
"Escort, The (Scorta, La) (1993)",3.0
Princess Caraboo (1994),3.0
"Celluloid Closet, The (1995)",4.0
Dear Diary (Caro Diario) (1994),4.0
"Brady Bunch Movie, The (1995)",2.5
Home Alone (1990),1.5
Ghost (1990),3.0
Aladdin (1992),3.5
Terminator 2: Judgment Day (1991),4.5
Dances with Wolves (1990),4.0
Batman (1989),4.0
"Silence of the Lambs, The (1991)",4.0
Snow White and the Seven Dwarfs (1937),3.0
Beauty and the Beast (1991),3.0
Pinocchio (1940),1.0
Pretty Woman (1990),3.0
"Wild Bunch, The (1969)",4.5
Love and a .45 (1994),4.0
"Great Day in Harlem, A (1994)",4.0
One Fine Day (1996),2.5
Candyman: Farewell to the Flesh (1995),3.0
Fargo (1996),3.5
Homeward Bound II: Lost in San Francisco (1996),4.0
Heavy Metal (1981),4.0
Hellraiser: Bloodline (1996),3.5
"Pallbearer, The (1996)",2.5
Jane Eyre (1996),2.5
Bread and Chocolate (Pane e cioccolata) (1973),3.0
"Aristocats, The (1970)",3.5
"Flower of My Secret, The (La flor de mi secreto) (1995)",2.5
Two Much (1995),3.0
Ed (1996),2.0
"Thin Line Between Love and Hate, A (1996)",5.0
"Last Supper, The (1995)",3.5
Primal Fear (1996),4.0
All Dogs Go to Heaven 2 (1996),2.0
Land and Freedom (Tierra y libertad) (1995),4.0
Denise Calls Up (1995),5.0
Theodore Rex (1995),1.5
"Family Thing, A (1996)",3.0
Frisk (1995),3.0
Sgt. Bilko (1996),3.5
Jack and Sarah (1995),3.0
Girl 6 (1996),3.0
Diabolique (1996),3.0
Nelly & Monsieur Arnaud (1995),3.5
Courage Under Fire (1996),3.5
Mission: Impossible (1996),3.0
Cold Fever (Á köldum klaka) (1995),3.0
Moll Flanders (1996),2.5
Dragonheart (1996),3.0
Eddie (1996),3.0
James and the Giant Peach (1996),2.5
Fear (1996),2.5
Kids in the Hall: Brain Candy (1996),3.5
Underground (1995),4.0
Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),2.0
Song of the Little Road (Pather Panchali) (1955),4.5
"World of Apu, The (Apur Sansar) (1959)",4.5
Mystery Science Theater 3000: The Movie (1996),4.0
Space Jam (1996),2.5
Barbarella (1968),3.5
Some Folks Call It a Sling Blade (1993),4.0
"Run of the Country, The (1995)",4.0
"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",3.5
It's My Party (1996),4.0
Operation Dumbo Drop (1995),2.0
Mrs. Winterbourne (1996),3.5
Solo (1996),3.0
"Substitute, The (1996)",3.0
True Crime (1996),4.0
Feeling Minnesota (1996),2.5
Delta of Venus (1995),1.0
Angus (1995),3.5
Boys (1996),2.0
"Quest, The (1996)",1.5
Sunset Park (1996),3.0
Mulholland Falls (1996),3.0
"Truth About Cats & Dogs, The (1996)",2.5
Oliver & Company (1988),3.0
Celtic Pride (1996),2.5
Flipper (1996),3.0
Dead Man (1995),3.5
"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",3.5
"Visitors, The (Visiteurs, Les) (1993)",4.0
Multiplicity (1996),1.5
Wallace & Gromit: The Best of Aardman Animation (1996),4.0
"Haunted World of Edward D. Wood Jr., The (1996)",4.0
"Craft, The (1996)",3.0
"Great White Hype, The (1996)",2.0
Last Dance (1996),3.0
Cold Comfort Farm (1995),3.5
Heaven's Prisoners (1996),3.5
"Rock, The (1996)",4.0
Cemetery Man (Dellamorte Dellamore) (1994),4.0
Twister (1996),3.5
Barb Wire (1996),1.0
Ghost in the Shell (Kôkaku kidôtai) (1995),4.0
Thinner (1996),3.0
Spy Hard (1996),2.0
Wallace & Gromit: A Close Shave (1995),4.0
"Stupids, The (1996)",3.5
"Arrival, The (1996)",2.5
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),4.0
Ashes of Time (Dung che sai duk) (1994),4.0
Maya Lin: A Strong Clear Vision (1994),3.5
Stalingrad (1993),4.0
"Phantom, The (1996)",2.5
Striptease (1996),1.5
Heavy (1995),3.5
Jack (1996),3.5
I Shot Andy Warhol (1996),4.0
Touki Bouki (1973),3.5
Spirits of the Dead (1968),3.0
Trainspotting (1996),4.5
'Til There Was You (1997),4.0
Independence Day (a.k.a. ID4) (1996),4.0
Stealing Beauty (1996),3.5
"Fan, The (1996)",2.5
"Hunchback of Notre Dame, The (1996)",4.0
"Cable Guy, The (1996)",3.5
Kingpin (1996),3.0
Eraser (1996),3.0
"Nutty Professor, The (1996)",2.0
"Unforgettable Summer, An (Un été inoubliable) (1994)",2.0
"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)",4.0
Somebody to Love (1994),3.5
Daylight (1996),4.0
"Frighteners, The (1996)",3.0
Lone Star (1996),4.0
Harriet the Spy (1996),3.5
Phenomenon (1996),3.0
Walking and Talking (1996),4.0
She's the One (1996),3.0
"Time to Kill, A (1996)",3.5
American Buffalo (1996),1.5
Alaska (1996),3.5
Fled (1996),3.0
Kazaam (1996),2.0
Larger Than Life (1996),2.5
"Very Brady Sequel, A (1996)",3.0
"Collector, The (La collectionneuse) (1967)",3.5
Kaspar Hauser (1993),4.0
"Adventures of Pinocchio, The (1996)",3.5
Joe's Apartment (1996),2.0
"First Wives Club, The (1996)",3.5
Ransom (1996),3.5
High School High (1996),2.0
Foxfire (1996),4.0
Chain Reaction (1996),2.5
Matilda (1996),3.5
Emma (1996),3.5
"Crow: City of Angels, The (1996)",3.5
House Arrest (1996),3.5
"Eyes Without a Face (Yeux sans visage, Les) (1959)",3.0
Tales from the Crypt Presents: Bordello of Blood (1996),2.0
"Spitfire Grill, The (1996)",2.5
Escape from L.A. (1996),2.5
Basquiat (1996),4.0
Tin Cup (1996),2.0
"Godfather, The (1972)",4.5
Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),4.0
Bound (1996),4.5
Carpool (1996),1.5
Kansas City (1996),3.5
Gone Fishin' (1997),1.0
Nothing to Lose (1994),3.5
Supercop 2 (Project S) (Chao ji ji hua) (1993),5.0
"Relic, The (1997)",3.5
"Island of Dr. Moreau, The (1996)",2.0
First Kid (1996),2.0
"Trigger Effect, The (1996)",2.0
Bogus (1996),2.5
Bulletproof (1996),3.0
Land Before Time III: The Time of the Great Giving (1995),2.5
1-900 (06) (1994),4.0
Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995),4.5
Twelfth Night (1996),3.5
Mother Night (1996),3.5
Wild Reeds (Les roseaux sauvages) (1994),2.5
For Whom the Bell Tolls (1943),4.0
"Philadelphia Story, The (1940)",4.5
Singin' in the Rain (1952),4.0
"American in Paris, An (1951)",4.0
Funny Face (1957),3.5
Breakfast at Tiffany's (1961),4.5
Vertigo (1958),4.5
Rear Window (1954),4.5
It Happened One Night (1934),4.5
Gaslight (1944),4.5
"Gay Divorcee, The (1934)",3.5
North by Northwest (1959),4.0
"Apartment, The (1960)",4.0
Some Like It Hot (1959),4.5
Charade (1963),4.0
Casablanca (1942),4.0
"Maltese Falcon, The (1941)",4.5
My Fair Lady (1964),4.5
Sabrina (1954),4.0
Roman Holiday (1953),4.0
"Little Princess, The (1939)",3.5
Meet Me in St. Louis (1944),4.0
"Wizard of Oz, The (1939)",3.5
Gone with the Wind (1939),3.0
My Favorite Year (1982),4.0
Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),3.0
Citizen Kane (1941),4.0
2001: A Space Odyssey (1968),4.0
All About Eve (1950),4.0
"Women, The (1939)",4.0
Rebecca (1940),4.0
Foreign Correspondent (1940),3.5
Notorious (1946),4.0
Spellbound (1945),4.5
"Affair to Remember, An (1957)",3.0
To Catch a Thief (1955),4.5
Father of the Bride (1950),3.5
"Band Wagon, The (1953)",3.0
Ninotchka (1939),4.0
Love in the Afternoon (1957),3.5
Gigi (1958),3.0
"Adventures of Robin Hood, The (1938)",4.0
"Mark of Zorro, The (1940)",4.0
Laura (1944),4.5
"Ghost and Mrs. Muir, The (1947)",4.0
Lost Horizon (1937),4.0
Top Hat (1935),4.0
To Be or Not to Be (1942),3.0
My Man Godfrey (1936),4.5
Giant (1956),4.0
East of Eden (1955),4.0
"Thin Man, The (1934)",4.0
His Girl Friday (1940),4.5
Around the World in 80 Days (1956),4.0
It's a Wonderful Life (1946),2.0
Mr. Smith Goes to Washington (1939),4.0
Bringing Up Baby (1938),4.5
Penny Serenade (1941),4.0
Of Human Bondage (1934),3.5
Little Lord Fauntleroy (1936),4.0
"Inspector General, The (1949)",3.0
"39 Steps, The (1935)",4.0
Night of the Living Dead (1968),4.0
"African Queen, The (1951)",4.0
Beat the Devil (1953),3.5
Cat on a Hot Tin Roof (1958),4.0
Meet John Doe (1941),4.0
"Farewell to Arms, A (1932)",3.0
Nothing Personal (1995),3.0
Dangerous Ground (1997),3.0
Picnic (1955),3.0
"Pompatus of Love, The (1996)",3.5
Fly Away Home (1996),3.5
Bliss (1997),3.0
Grace of My Heart (1996),3.0
Maximum Risk (1996),3.5
Michael Collins (1996),4.0
Infinity (1996),3.0
Big Night (1996),4.5
Last Man Standing (1996),2.0
Set It Off (1996),3.0
2 Days in the Valley (1996),3.5
Extreme Measures (1996),2.5
"Glimmer Man, The (1996)",3.0
D3: The Mighty Ducks (1996),2.0
"Chamber, The (1996)",3.0
"Apple Dumpling Gang, The (1975)",2.5
"Davy Crockett, King of the Wild Frontier (1955)",3.0
Escape to Witch Mountain (1975),2.5
"Love Bug, The (1969)",3.5
Herbie Rides Again (1974),3.5
Old Yeller (1957),3.0
"Parent Trap, The (1961)",2.5
Pollyanna (1960),2.5
Homeward Bound: The Incredible Journey (1993),2.0
"Shaggy Dog, The (1959)",3.0
Swiss Family Robinson (1960),3.5
That Darn Cat! (1965),2.0
"20,000 Leagues Under the Sea (1954)",4.0
Cool Runnings (1993),2.0
Angels in the Outfield (1994),2.0
Cinderella (1950),3.5
Winnie the Pooh and the Blustery Day (1968),3.0
"Three Caballeros, The (1945)",4.0
"Sword in the Stone, The (1963)",3.5
Robin Hood: Prince of Thieves (1991),2.5
Mary Poppins (1964),4.0
Dumbo (1941),4.0
Pete's Dragon (1977),2.5
Bedknobs and Broomsticks (1971),3.0
Alice in Wonderland (1951),2.5
"Fox and the Hound, The (1981)",3.5
Freeway (1996),2.0
"Sound of Music, The (1965)",4.0
Die Hard (1988),4.5
"Lawnmower Man, The (1992)",2.5
"Secret Agent, The (1996)",3.0
Secrets & Lies (1996),4.0
That Thing You Do! (1996),2.5
To Gillian on Her 37th Birthday (1996),2.0
Beautiful Thing (1996),4.0
"Long Kiss Goodnight, The (1996)",3.0
"Ghost and the Darkness, The (1996)",3.0
Looking for Richard (1996),4.0
Trees Lounge (1996),4.0
Normal Life (1996),3.0
Get on the Bus (1996),2.0
Shadow Conspiracy (1997),1.5
Jude (1996),3.0
Everyone Says I Love You (1996),4.0
William Shakespeare's Romeo + Juliet (1996),3.5
Swingers (1996),3.5
Sleepers (1996),3.5
Aladdin and the King of Thieves (1996),2.5
